Threshold,Precision,Recall,AUROC,Accuracy,MC
0.4484848484848485,0.6156992073806233,0.9226666666666666,0.7291182795698925,0.6423357664233577,0.2939403193973766
0.4505050505050505,0.6199451769424256,0.9173333333333333,0.729247311827957,0.6467153284671532,0.3013856870210368
0.45252525252525255,0.6233952540240384,0.9173333333333333,0.729247311827957,0.6510948905109488,0.31058883770972356
0.4545454545454546,0.6250181707821555,0.9146666666666666,0.7292903225806452,0.6525547445255475,0.3120379696834055
0.45656565656565656,0.624372571053987,0.9119999999999999,0.729247311827957,0.6510948905109488,0.30772959979276115
0.4585858585858586,0.6260220125786163,0.9093333333333333,0.7292043010752689,0.6525547445255475,0.3098275853949387
0.46060606060606063,0.6294889483192236,0.9093333333333333,0.7293333333333333,0.6569343065693432,0.31928060999382185
0.4626262626262626,0.6299110262413015,0.9066666666666666,0.729247311827957,0.6569343065693432,0.3182852477544921
0.46464646464646464,0.6316244866244867,0.9039999999999999,0.7292043010752687,0.6583941605839415,0.3202166709264793
0.4666666666666667,0.6321981201107414,0.9013333333333333,0.7293333333333333,0.6583941605839416,0.3193716547614147
0.4686868686868687,0.633349079243352,0.9013333333333333,0.7293763440860215,0.6598540145985401,0.32247772786771345
0.47070707070707074,0.6320033135988263,0.8959999999999999,0.7292043010752689,0.656934306569343,0.31497975262873246
0.4727272727272727,0.6332542471313134,0.8959999999999999,0.7292043010752687,0.6583941605839415,0.3180033956729764
0.47474747474747475,0.6349353824882213,0.8933333333333333,0.7293333333333333,0.6598540145985401,0.3203445174863286
0.4767676767676768,0.6366294931542946,0.8906666666666666,0.729247311827957,0.6613138686131387,0.32261241113727984
0.47878787878787876,0.6397038886762407,0.8880000000000001,0.729247311827957,0.6642335766423357,0.3279859888528317
0.4808080808080808,0.6405816035816037,0.8826666666666668,0.7291612903225807,0.6642335766423357,0.3269786587158281
0.48282828282828283,0.639874532874533,0.8800000000000001,0.7293333333333333,0.6627737226277371,0.32345336379020895
0.48484848484848486,0.639874532874533,0.8800000000000001,0.7293763440860215,0.6627737226277371,0.32345336379020895
0.4868686868686869,0.6403228968355019,0.8720000000000001,0.7293333333333333,0.6613138686131388,0.318644742199177
0.4888888888888889,0.643402357887049,0.8693333333333333,0.7292043010752689,0.6642335766423357,0.3245205122746048
0.4909090909090909,0.6477836005049753,0.8666666666666668,0.7292043010752689,0.6686131386861314,0.33282864098857656
0.49292929292929294,0.6522913829994164,0.8640000000000001,0.7292903225806452,0.672992700729927,0.3415227692640406
0.4949494949494949,0.6568339242749172,0.8613333333333333,0.7292043010752689,0.6773722627737226,0.35032275858352974
0.49696969696969695,0.65676852655956,0.8560000000000001,0.7293333333333333,0.6759124087591241,0.3465575975950096
0.498989898989899,0.6602559532848522,0.8533333333333333,0.7292903225806452,0.6788321167883211,0.35173684084531953
0.501010101010101,0.6616813918813433,0.8533333333333333,0.7292903225806452,0.6802919708029196,0.35467802536180043
0.503030303030303,0.6621904275251235,0.8453333333333333,0.7291612903225806,0.6788321167883213,0.35077804190666817
0.5050505050505051,0.6642201231293153,0.8373333333333333,0.7292043010752688,0.6788321167883211,0.3496166277316294
0.5070707070707071,0.663318412859459,0.8293333333333333,0.7292043010752689,0.6759124087591241,0.343033162288172
0.509090909090909,0.6656172634341717,0.8266666666666665,0.729247311827957,0.6773722627737226,0.34602570327019
0.5111111111111111,0.6656406778295834,0.8160000000000001,0.7292043010752689,0.6744525547445256,0.33918361079109627
0.5131313131313131,0.6656673178562234,0.8106666666666665,0.7292043010752689,0.672992700729927,0.33597859419083353
0.5151515151515151,0.6665015908797389,0.8026666666666668,0.7292043010752687,0.6715328467153284,0.3322329405042629
0.5171717171717172,0.664292681654461,0.7946666666666667,0.7292903225806452,0.6671532846715329,0.3231326888339533
0.5191919191919192,0.6666060337171469,0.7866666666666665,0.729247311827957,0.6671532846715329,0.3229277335486442
0.5212121212121212,0.6706414646019406,0.784,0.7292903225806452,0.67007299270073,0.32880980540041216
0.5232323232323233,0.6693236634442075,0.7733333333333332,0.729247311827957,0.6656934306569342,0.3199824609686469
0.5252525252525253,0.6692036792368458,0.768,0.729247311827957,0.6642335766423357,0.316692175488533
0.5272727272727272,0.6676846715221058,0.7626666666666667,0.7292903225806452,0.6613138686131387,0.31055650673391355
0.5292929292929293,0.6692259463392427,0.7626666666666667,0.7293333333333333,0.6627737226277373,0.31360174472792046
0.5313131313131313,0.6731195068632368,0.7546666666666667,0.7293763440860215,0.6642335766423357,0.3169511388683134
0.5333333333333333,0.6707318291814415,0.7466666666666667,0.729247311827957,0.6598540145985401,0.3081309130500273
0.5353535353535354,0.6697426262365731,0.7333333333333334,0.7293333333333333,0.6554744525547445,0.30005316938624443
0.5373737373737374,0.6712237294030695,0.7333333333333334,0.7293333333333333,0.656934306569343,0.303137867446203
0.5393939393939394,0.6726831654813612,0.728,0.7292903225806452,0.656934306569343,0.3037843845378757
0.5414141414141413,0.6762500901221845,0.7226666666666667,0.7293763440860215,0.6583941605839415,0.30748100910088716
0.5434343434343434,0.6762500901221845,0.7226666666666667,0.7293763440860215,0.6583941605839415,0.30748100910088716
0.5454545454545454,0.6774352003900397,0.7093333333333334,0.7292043010752688,0.6554744525547445,0.3024168267391496
0.5474747474747474,0.6781491403381951,0.7013333333333333,0.729247311827957,0.6540145985401459,0.30046750220938473
0.5494949494949495,0.6835678351184681,0.696,0.7293763440860215,0.656934306569343,0.30752218281839194
0.5515151515151515,0.6928341073483479,0.6906666666666667,0.7293763440860215,0.6627737226277371,0.32076713939325907
0.5535353535353535,0.7014207461575882,0.688,0.7293763440860215,0.6686131386861314,0.3337180343682924
0.5555555555555556,0.7023380678829199,0.6773333333333332,0.7291612903225806,0.6656934306569343,0.3290522084980666
0.5575757575757576,0.7064945072735263,0.6693333333333333,0.7293763440860215,0.6656934306569343,0.3311292802301212
0.5595959595959596,0.7041418689208878,0.6613333333333333,0.7292903225806451,0.6613138686131387,0.32280430596086856
0.5616161616161616,0.7077541964113447,0.6586666666666667,0.7292043010752689,0.6627737226277371,0.3268602392907877
0.5636363636363636,0.7081501658213988,0.6453333333333334,0.729247311827957,0.6583941605839415,0.3200939870107608
0.5656565656565656,0.7112638695872764,0.6426666666666667,0.7291182795698925,0.6598540145985401,0.32372041564698023
0.5676767676767677,0.7192877290262303,0.64,0.7293333333333333,0.6642335766423357,0.33408999219260227
