Threshold,Precision,Recall,AUROC,Accuracy,MC
0.4,0.6332646593516159,0.9199999999999999,0.7473333333333334,0.6642335766423357,0.3435801306382588
0.40202020202020206,0.6350064985934551,0.9173333333333333,0.7473333333333334,0.6656934306569342,0.34635399067708283
0.4040404040404041,0.6353784825566994,0.9146666666666666,0.7473333333333334,0.6656934306569342,0.34636997598158337
0.40606060606060607,0.6358325646621575,0.9120000000000001,0.7474623655913979,0.6656934306569343,0.3454419213388596
0.4080808080808081,0.6381267040272351,0.9120000000000001,0.7473333333333334,0.6686131386861314,0.3511920551554298
0.41010101010101013,0.6427405880280173,0.9066666666666666,0.7473333333333334,0.672992700729927,0.35852530628801466
0.41212121212121217,0.6463379424304361,0.9013333333333333,0.7473333333333334,0.6759124087591241,0.36145182881413096
0.41414141414141414,0.6515778370762194,0.8933333333333333,0.7473333333333334,0.6802919708029197,0.36661992103480356
0.4161616161616162,0.6515778370762194,0.8933333333333333,0.7473333333333334,0.6802919708029197,0.36661992103480356
0.4181818181818182,0.652973398732591,0.8933333333333333,0.7474623655913979,0.6817518248175183,0.3696891391432454
0.42020202020202024,0.6586704128377384,0.8906666666666666,0.7473333333333334,0.6875912408759124,0.38016368430281566
0.4222222222222222,0.6592469810599519,0.8880000000000001,0.7473333333333334,0.6875912408759124,0.3795169649685072
0.42424242424242425,0.6618472410859545,0.8880000000000001,0.7473333333333334,0.6905109489051094,0.3855971431230471
0.4262626262626263,0.6644567113257815,0.8880000000000001,0.7473333333333334,0.6934306569343066,0.39119487646854073
0.4282828282828283,0.6659796906609923,0.8826666666666668,0.7474193548387097,0.6934306569343066,0.3892813251717612
0.4303030303030303,0.6705885445118109,0.8800000000000001,0.7473333333333334,0.6978102189781022,0.3977012097019505
0.43232323232323233,0.6726376434014864,0.8719999999999999,0.7473333333333334,0.6978102189781022,0.3956747965722208
0.43434343434343436,0.67350262341411,0.8640000000000001,0.7473333333333334,0.6963503649635037,0.39057991138726783
0.4363636363636364,0.6749173086363808,0.8586666666666668,0.7473333333333334,0.6963503649635037,0.38950155052281765
0.4383838383838384,0.6771321106069228,0.8560000000000001,0.7473333333333334,0.6978102189781021,0.3923961217437764
0.4404040404040404,0.6793281504557087,0.8533333333333333,0.7473333333333334,0.6992700729927007,0.3947892292600485
0.44242424242424244,0.680984092497989,0.8480000000000001,0.7475053763440861,0.6992700729927008,0.39429465843079853
0.4444444444444445,0.6816619806310528,0.8453333333333333,0.7473333333333334,0.6992700729927008,0.394233622150856
0.44646464646464645,0.6816636376961217,0.8346666666666668,0.7473333333333334,0.6963503649635037,0.38780957499753893
0.4484848484848485,0.6859914315485521,0.8346666666666668,0.7474623655913979,0.7007299270072992,0.3965467902905565
0.4505050505050505,0.6846879719762287,0.8293333333333333,0.7473333333333334,0.6978102189781021,0.3899156077071732
0.45252525252525255,0.6876650052733643,0.8293333333333333,0.7474193548387097,0.7007299270072993,0.39590456432814813
0.4545454545454546,0.6907846002558142,0.8293333333333333,0.7473333333333334,0.7036496350364964,0.4017769738522799
0.45656565656565656,0.6928296559197424,0.8240000000000001,0.7473333333333334,0.7036496350364964,0.40138130569573527
0.4585858585858586,0.6914391604502996,0.8186666666666665,0.7473333333333334,0.7007299270072993,0.39475975965990956
0.46060606060606063,0.6930661185278119,0.8133333333333332,0.7475053763440861,0.7007299270072993,0.39435873972853164
0.4626262626262626,0.6932605153992394,0.808,0.7473333333333334,0.6992700729927007,0.390868456081487
0.46464646464646464,0.6940989197264875,0.8053333333333332,0.7473333333333334,0.6992700729927007,0.3908911490147343
0.4666666666666667,0.6927113156561824,0.8,0.7474193548387097,0.6963503649635037,0.38429518702715165
0.4686868686868687,0.6935506617434328,0.792,0.7473333333333334,0.6948905109489052,0.3813143630711105
0.47070707070707074,0.6932170142856454,0.784,0.7473333333333334,0.691970802919708,0.3747949349215359
0.4727272727272727,0.692602205411013,0.7813333333333333,0.7475053763440861,0.6905109489051094,0.37163899469159384
0.47474747474747475,0.6911314808565612,0.7706666666666666,0.7473333333333334,0.6861313868613139,0.3629434879381549
0.4767676767676768,0.6981473274827511,0.7653333333333333,0.7473333333333334,0.6905109489051094,0.3725933005848979
0.47878787878787876,0.6975862389050531,0.752,0.7473333333333334,0.6861313868613139,0.3640473124715189
0.4808080808080808,0.6946783883723511,0.7413333333333333,0.7473333333333334,0.6802919708029197,0.35221757907883516
0.48282828282828283,0.6938759192365486,0.7386666666666666,0.7473333333333334,0.6788321167883211,0.34935718894050033
0.48484848484848486,0.6962151005230981,0.7333333333333333,0.7473333333333334,0.6788321167883211,0.3501272345244958
0.4868686868686869,0.6979239612825918,0.7333333333333333,0.7473333333333334,0.6802919708029197,0.35323094477376615
0.4888888888888889,0.6972126069734264,0.7306666666666666,0.7473333333333334,0.6788321167883211,0.350193706955719
0.4909090909090909,0.6997409404582401,0.728,0.7473333333333334,0.6802919708029196,0.35351189168572217
0.49292929292929294,0.7014936181602849,0.728,0.7473333333333334,0.6817518248175183,0.3566156406334161
0.4949494949494949,0.7071631775196313,0.728,0.7473333333333334,0.6861313868613139,0.36597347212090836
0.49696969696969695,0.7115432726662936,0.7253333333333333,0.7474623655913979,0.6890510948905109,0.37234753265008286
0.498989898989899,0.7133414744644954,0.7253333333333333,0.7473333333333334,0.6905109489051094,0.3754532910974471
0.501010101010101,0.7162313945329337,0.7226666666666668,0.7473333333333334,0.691970802919708,0.3789700450236404
0.503030303030303,0.7155523821872547,0.72,0.7473333333333334,0.6905109489051094,0.3760467714108576
