Threshold,Precision,Recall,AUROC,Accuracy
0.4,0.6661640435455123,0.8773333333333333,0.7753333333333332,0.691970802919708
0.40040080160320646,0.669544489124321,0.8746666666666666,0.7752473118279569,0.6948905109489052
0.40080160320641284,0.6727345119271904,0.8666666666666668,0.7801720430107527,0.6963503649635037
0.4012024048096193,0.6629330065359478,0.8666666666666666,0.7836129032258065,0.6861313868613139
0.40160320641282565,0.659984335839599,0.8640000000000001,0.7771612903225806,0.6817518248175183
0.4020040080160321,0.6729327107732264,0.8560000000000001,0.7766881720430108,0.6934306569343065
0.4024048096192385,0.6706979201437,0.8640000000000001,0.7786021505376344,0.6934306569343066
0.4028056112224449,0.6675137540453076,0.8453333333333333,0.7698279569892474,0.6846715328467153
0.40320641282565134,0.6657142857142857,0.8613333333333333,0.775010752688172,0.6875912408759124
0.4036072144288577,0.661034783884641,0.8586666666666666,0.7809677419354839,0.6817518248175183
0.40400801603206415,0.6635474828313561,0.8719999999999999,0.7769462365591397,0.6875912408759124
0.4044088176352706,0.6764318501421525,0.8586666666666666,0.7780430107526881,0.6978102189781021
0.40480961923847697,0.6707304427251235,0.8640000000000001,0.7774623655913978,0.6934306569343066
0.4052104208416834,0.669969199305086,0.8640000000000001,0.7769247311827957,0.691970802919708
0.4056112224448898,0.6672640405786472,0.8666666666666668,0.7726881720430108,0.6905109489051096
0.4060120240480962,0.6639982324048679,0.8533333333333333,0.7721720430107528,0.6832116788321168
0.4064128256513026,0.675229410159061,0.8586666666666666,0.779225806451613,0.6963503649635037
0.40681362725450904,0.6717214595928968,0.8560000000000001,0.7743440860215054,0.691970802919708
0.40721442885771547,0.6791335308316876,0.8400000000000001,0.7758064516129033,0.6948905109489052
0.40761523046092185,0.6746152998085362,0.8560000000000001,0.7780860215053764,0.6948905109489051
0.4080160320641283,0.6745914027960639,0.8533333333333333,0.7776129032258065,0.6948905109489052
0.40841683366733467,0.6770199941543448,0.8639999999999999,0.7770537634408601,0.6992700729927008
0.4088176352705411,0.6688999817486239,0.8613333333333333,0.7758064516129032,0.6905109489051094
0.40921843687374754,0.6692959322130009,0.8586666666666666,0.7740645161290323,0.6905109489051096
